,144,288,432,576,864,1440,2016,2880
144,1280992.4007713096,842517.1341724108,647499.5744690883,492337.8273710431,351130.1329294724,247270.64126068066,146222.11857162724,90653.68755127843
288,1061834.0527822133,672017.9303543858,499208.7384638528,419635.7980625955,333824.95157073817,237227.04007599817,146487.44801215475,90667.92065169402
432,858905.1662112429,552178.6849250922,406469.99210439017,354787.26374906243,309301.735155622,216221.39507637097,146360.8226614145,93095.01956122115
576,847593.1238746147,545249.1622342067,385594.47049988346,295947.8168991345,241016.04391095447,175557.9316596595,135841.13787756782,93234.83935582021
864,828041.8050700418,520329.3969249949,364694.8709428126,293364.9054355886,220665.5754082822,162073.8177604316,122301.51969601845,97233.50074433784
1440,665076.4780218855,429566.6729460593,315489.8650326369,226790.57953927593,185997.8670761207,118186.21203688666,101724.50094240814,82690.38870604706
2016,640987.3778136157,419889.4924412179,284660.59549505456,212296.668827949,161893.1148610711,103549.05837399208,84183.18083731223,61349.95399853638
2880,576243.7231609693,374910.6214280337,269517.07292549254,204106.7141804367,161064.5526864658,88951.53641434817,65637.18584428795,50047.927066542055
