,18,36,72,144,288,864,1440,2016,2880
18,-8.942416166792267,-11.951804207192001,-8.840207786818317,-11.004898425939636,-12.11492942387154,-8.709493961161435,-12.592051045340312,-17.71475245078513,-19.78212524947758
36,-8.011567509695192,-11.256137534898063,-10.514161324287741,-14.589056117374271,-14.152846624376297,-8.654488978251946,-11.588782359265242,-17.287546692397708,-19.117706633220177
72,-8.54278429033624,-9.472790043246086,-10.528706566935316,-15.126897595722555,-13.67424737380046,-10.267743140924265,-12.900889812269545,-17.232358332839283,-21.918759873321758
144,-4.4424234833081035,-8.568506791019509,-9.216590902080068,-13.201817712381361,-14.821630641518102,-9.366648065799435,-13.407684789306876,-17.16077540461955,-19.114255799762645
288,-3.724158075852642,-7.721785531082424,-10.086136846675828,-15.256027830863717,-14.968618841189329,-11.470596134154775,-13.481782127078427,-17.678303597657713,-18.463999112358366
864,-4.398231552199782,-6.445776949663533,-8.199153920074597,-14.705730594604374,-13.487503610438567,-14.080508596732685,-14.432672992473083,-18.964994065930934,-20.768910640596847
1440,-3.802467258897401,-9.604709718567724,-9.331918745250103,-13.176334225961398,-13.685730594672332,-12.398153887040756,-14.228321589511813,-16.7235441948642,-21.579851695653918
2016,-4.809902470891482,-11.032469178025114,-9.288427142567741,-13.978477372587255,-14.957064089169942,-13.247123013454864,-14.062938996417104,-18.314794871973554,-19.21016841276623
2880,-3.422387979647669,-9.025286067687855,-10.238194561968164,-10.840127096121362,-14.312859535857708,-13.363055762292083,-19.63061067683345,-17.39319931456119,-21.958405835363294
