,18,36,72,144,288,864,1440,2016,2880
18,10340544.789700001,10192540.9945,10146026.080000002,10042519.0973,9832949.8611,9736557.6841,9891536.6689,9895923.2121,10005945.3787
36,10556460.1193,10337195.5313,10253697.088799998,10215700.054100001,9875608.1101,9788809.869499998,9904084.8486,9926616.811099999,10037653.539
72,10756553.7001,10430103.579799999,10322999.5734,10231015.869099999,9973149.1683,9859347.545500001,9904432.4948,9948715.674899999,10046383.255
144,11498321.486999998,10520016.937199999,10387639.4848,10280645.567999998,10012752.947800001,9884909.5921,9937791.3938,9917296.6627,10013286.479899999
288,11591679.9668,10616183.439199999,10534563.8327,10440597.8747,10142211.7892,9979525.7521,9991074.481999999,9968772.1055,10061006.8112
864,12751881.811600003,10583470.0312,10414526.603899999,10299514.564599998,10153142.5234,9964889.5212,10012586.6062,10014253.8738,10075911.842
1440,12139209.7359,11291927.288899997,10475044.3906,10289148.502299998,10198036.7663,10065147.1408,9989645.8387,9970847.9236,10105566.0212
2016,12108233.169,11268702.189,10396648.9867,10300868.485799998,10212018.0889,10034059.5473,9986712.252799999,10032863.0813,10087995.1674
2880,13428571.3195,11323734.664399998,10433276.5144,10323206.003099998,10169319.5092,9958142.032,9978531.4056,9994522.3846,10048421.1216
