,144,288,432,576,864,1440,2016,2880
144,2743386.9498401457,2662887.6262801606,2695132.417514936,2507568.7504299814,2521010.9859351246,1803276.6661103908,1858575.7811376122,1843741.773303975
288,2466167.3781581717,2505002.5690578544,2355080.062211499,2274793.4971185345,2111567.463750848,1452064.5912637238,1566332.1398376431,1889102.323792376
432,2363400.618313948,2301809.812449921,2143230.072769733,2192541.599256721,2240166.841572033,1434609.5268266115,1381444.1481775704,1873330.7870315844
576,2278462.65869769,2066558.8772278905,2056698.8394479714,1956222.4372919356,1970169.5603410085,1551274.1618102686,1445337.5348359852,1537421.8125156106
864,1960731.5948845753,1638058.0699810712,1459968.628118468,1129436.4887150219,1594521.2634943838,1142824.1951503062,1396589.8327763996,1472127.0955889262
1440,1440470.1478760587,1335551.932219403,1464383.9729899568,1055365.3610798595,1299370.659364844,1067231.7306201193,1156164.5358791426,1310333.3195351595
2016,1320013.5382416397,1727386.5919635016,1115362.2185790827,1142419.8811382698,1285062.1441803956,944752.771859512,1110706.2063005597,1458934.2418601597
2880,1347388.3082026392,1650772.8339001504,1077373.4571013413,1115960.7396799088,1308697.578553751,837593.8584786765,862865.3415182082,1040381.3175951594
