,72,144,288,864,1440
288,-86238.64510000125,-94125.22430000082,-129489.86039999872,-132166.5068000015,-93801.56179999933
432,-70465.4774999991,-106076.55169999972,-127856.21770000085,-124186.53759999946,-132798.95949999988
576,-98719.8881000001,-96172.95569999889,-139301.91860000044,-137297.9149999991,-129816.7544999998
864,-94720.76349999942,-98549.81779999845,-142595.77820000052,-131268.98809999973,-111790.79920000024
1152,-89040.27130000107,-88156.28339999914,-118312.70800000057,-124610.11469999887,-97856.16920000128
