,144,288,432,576,864,1440,2016,2880
144,-122483.77136599924,-117857.5759709999,-71121.99016500078,-43926.11600000039,-42184.64312300086,-42537.08806099929,-89316.41770599969,-103309.23458999954
288,-95759.16590000037,-93497.47959999926,-97736.02229999937,-75843.72519999929,-65437.77809999976,-51582.84751399979,-75713.1458019996,-76185.32233799901
432,-121767.93289799988,-124402.74962899927,-121147.44269399997,-89635.5511739999,-84544.40460000001,-80332.77623500023,-67994.95930400025,-85854.07356499974
576,-90974.07754100068,-104640.81762199849,-85350.45620699925,-72863.30433300044,-70614.9238719996,-92214.36566499993,-90309.9125669999,-87051.43190500047
864,-90192.04686000012,-71185.4059659997,-75685.8889000006,-60364.999180000275,-59100.36487999931,-83035.0360159995,-127488.47988700029,-99849.01766300108
1440,-107885.17756500095,-88614.23720000032,-80177.76708600018,-90857.6835070001,-93173.33092900086,-101297.3382890001,-128075.49312799983,-100037.05038600042
2016,-74400.62473500008,-71007.71119999979,-84304.4433530001,-63888.25069400016,-91400.22406399995,-92135.76421300042,-99626.53431699984,-90104.0187169998
2880,-122444.60764200008,-121235.91959600057,-98990.72967100004,-89252.95858000033,-340188.0668739998,-351730.7881319998,-337896.7434679996,-323871.69680799963
