,72,144,288,864,1440
288,1.0412063235190545,1.2001819583249298,1.0439537722036434,1.207904036818693,1.0459608431702874
432,1.2620762681651445,1.2553804961457227,1.075917927472728,1.0432821043790492,1.3089857212065634
576,0.8875054130487869,1.125511121073377,1.0526824074723042,1.3644759497139896,1.1249080806318452
864,0.7882209019361303,1.0204997884574347,0.9200061851906809,1.2791601277961573,1.27001863017949
1152,1.1926513651882866,1.0132575603901912,0.9770102346755088,1.197155355926481,1.2592634513039171
