,72,144,288,864,1440
288,-94631.7631000001,-100520.93480000086,-135231.41589999944,-118373.80499999784,-127663.7042999994
432,-119954.77469999902,-109098.7042999994,-128151.50349999964,-124756.42049999908,-120094.92009999976
576,-135684.59280000255,-121857.20160000026,-136428.16040000133,-116404.87289999984,-120923.30179999955
864,-165458.12399999984,-122126.60160000063,-133370.81090000086,-143711.37909999862,-108608.82710000128
1152,-125832.25919999927,-124747.34149999917,-134075.25999999978,-141639.20929999836,-97671.09440000169
