,18,36,72,144,288,864,1440,2016,2880
18,-14.264073483098333,-14.895785611980816,-9.73754105316676,-13.114695350500607,-13.769365564480507,-9.497092177511803,-15.183011401203983,-17.469883663887135,-23.017955276593906
36,-11.880497113238862,-13.863360428357874,-13.585787986873942,-16.30128187363395,-15.26400187333615,-8.75347208839847,-13.0712063166712,-18.993952847351263,-22.133525952604547
72,-10.298304026141974,-11.97439622308444,-12.225318735031522,-19.174371874232474,-15.866300329003943,-11.167805578391313,-14.024281984583315,-17.402435946936237,-21.99512911892569
144,-7.286529586549484,-10.666239061196165,-12.251224218451625,-15.147233902281275,-16.51522992104618,-13.045927934241167,-13.895711854181483,-17.837308403253367,-21.341591118146127
288,-6.356268292611117,-10.865421018918669,-13.137711381732602,-18.25399659983632,-18.766472934645694,-14.33198703865557,-15.22755950763699,-19.93667048491649,-21.53926952172208
864,-6.580391842604049,-11.663694456261167,-14.21067062323841,-20.51370523597299,-18.391314255923817,-15.432732410741238,-18.94114417873617,-20.68649598752984,-22.9151066197598
1440,-6.334006421876014,-8.011896241261967,-12.398695389447807,-15.395122454988766,-13.932724708417243,-22.70113579257165,-18.940182667312452,-23.322192986011817,-19.62420613555644
2016,-6.412682047351915,-10.423750576635426,-9.162428573556422,-15.956886754846195,-16.40944232852665,-19.4892447747068,-21.055397137738368,-22.077972073742995,-21.72204099240581
2880,-8.956859230942188,-11.748127623086859,-12.726433765119157,-12.654561812781559,-13.769890016751262,-15.113151574252026,-15.212628856592477,-16.685505587749077,-20.839746143024417
