,18,36,72,144,288,864,1440,2016,2880
18,3768038.211395201,2881166.2237075963,1794056.3486858706,983663.84023883,489526.1693265466,161455.2590918661,96974.18098228348,71224.28887206735,46613.41117554424
36,3220292.5998043534,2177914.566902701,1542715.6189030327,906252.5428206312,469376.5630344268,159117.6778017267,97023.0207314119,69809.94047500861,46163.10312346046
72,2910496.151124194,1816550.550120039,1187897.8192469452,779493.3033738708,435169.2784014017,153896.40774679798,93545.12626960297,70148.78235182616,45319.05700425684
144,2611048.781233712,1555685.2748846202,942262.0932758615,603271.082463491,386566.37042955833,147203.67515598747,90820.08391627879,68234.44461623728,44685.586377373525
288,2364034.101227652,1378028.8124221426,811671.2009477471,466805.58495737356,282346.62186615507,134997.5007181762,86486.01634377133,63511.60328996555,43464.06519374706
864,2110255.0439612884,1184432.2553864596,654776.0558571237,365956.5042341926,196704.37403559042,90841.9295166852,69102.06841015974,56008.91383172514,39648.370006726705
1440,2038409.4039187783,1128737.3813872458,599149.4048959765,338860.0001139358,175764.3210799021,76285.48264210964,53931.958450634294,46483.76179981598,34964.662519859834
2016,1993417.8339971425,1104344.0732829554,585784.3515459702,322595.8185335395,167368.3660621997,65263.3213476022,44251.220579859044,37561.05912410728,30513.468041413467
2880,1971475.2434400187,1068383.077534668,566819.9687817838,301436.3080239514,156625.73561060298,57279.69109579169,39109.98230749255,29391.679198620208,24611.99402169851
