,18,36,72,144,288,864,1440,2016,2880
18,4811784795.951672,3679249267.6746006,2291009957.271857,1256138723.9849858,625124918.23,206178365.860313,123836029.11437601,90953416.88963,59525326.07117
36,4112313649.950159,2781196901.9347486,1970047845.3391728,1157284497.181946,599393870.994963,203193274.552805,123898397.474013,89147293.986586,58950282.688659005
72,3716703584.9855957,2319735052.5032897,1516945515.178349,995412948.408433,555711168.51859,196525712.69266102,119457126.246283,89579995.063282,57872435.79443599
144,3334309293.6354504,1986610096.02766,1203268693.113275,770377172.305878,493645255.03854597,187979093.174196,115977247.161088,87135385.774935,57063493.80390599
288,3018871547.2677116,1759742793.463076,1036504123.610273,596110731.990566,360556636.12308,172391808.41711098,110442642.870996,81104317.401286,55503611.252415
864,2694795691.138565,1512519990.128509,836149023.3295469,467326455.90706396,251191485.64344898,116005143.992807,88243341.359774,71523382.96311301,50630968.49859
1440,2603048808.80428,1441397636.031513,765113790.052162,432724220.145496,224451038.01903498,97416561.333974,68871110.94146,59359763.818365,44649874.037861004
2016,2545594574.014351,1410247381.582334,748046616.924204,411954860.26732993,213729403.461429,83341261.360888,56508808.68048,47965472.501485005,38965698.688884996
2880,2517573885.872904,1364325190.011771,723829100.1343379,384934165.346586,200011064.37474,73146165.52932599,49943447.40666799,37533174.336638,31429516.365708996
