,18,36,72,144,288,864,1440,2016,2880
18,7186228.6218404835,6291688.1730245855,5809506.784643856,3950842.622821246,3173171.3982185405,2996090.5687688324,2076007.3017327124,2339348.661374733,2864194.5822807206
36,6265053.39516634,4859743.092036137,4627660.743283524,3682132.147936118,3234991.8263500496,2530974.3607430262,2070046.5543104568,2457520.680741105,2876379.7009285428
72,5900353.719333452,4871610.452915577,4036198.129083414,3124154.445612821,3027190.6528432537,2602209.400382217,2178942.9689194993,2506086.8908387558,2965783.035041767
144,5147494.8452657275,4119764.907671296,3389256.1351183946,2957913.1032889863,2697354.2493912135,2627391.6796568707,2181083.9878909816,2410371.6374690384,2979774.301838061
288,5521243.608273288,3749641.107990934,3320048.8267152817,2793142.94861652,2590534.672832369,2348569.2525158436,2166882.0911901426,2329105.763456867,2886234.8893346833
864,4555146.500003669,3546518.395270545,3094588.219151856,2565169.898348931,2463602.205078532,2811611.183483694,2353541.6864515375,2333450.636794053,2942297.950191156
1440,5697874.751796578,3365634.0767648094,2826346.441714437,2591352.1600035704,2274975.895085843,2462063.523531925,2257137.461039488,2509979.1304853763,2730531.588753433
2016,4837559.031530304,3465992.463481295,2754826.1564698634,2371596.395073096,2506476.688270275,2285253.6952596027,2227999.2561981035,2400328.8130719475,2659925.383430925
2880,4657783.566864962,3140743.458509814,3063229.455824075,2501013.843535819,1988367.9368012147,2019226.5886172173,2300548.236659971,2370510.514570234,2376410.850669925
