,144,288,432,576,864,1440,2016,2880
144,308826340.9548327,209312757.643399,160829704.73754764,128987265.61463404,88572037.91243342,55718670.076009095,46210803.693635166,30983218.64280192
288,215011888.46284622,160112628.962534,131445207.04299448,111815103.17342901,76237245.89092799,53348359.57982931,42319850.35902189,28544806.94080647
432,185414718.78987923,134860119.66205466,113477408.17490992,99664073.21537241,74820216.67045985,50760546.80848434,41585736.56298247,27755769.15623497
576,167371714.6389616,117675788.0208772,99123065.04213423,91798598.09913723,69493682.34244233,48648403.883708514,41424144.37400391,27270745.68625796
864,150125986.21061617,98490737.08218844,81656945.65525305,70472748.92571093,56001419.669557415,44739750.37611653,38689716.23745585,26861832.485050697
1440,128222238.28002757,85347646.29142341,68620583.29891086,59035022.256779306,46146766.020327255,35444532.58442085,33400406.921446018,25757716.27719214
2016,114680965.23942074,74055118.85446304,56186425.35117661,49339089.556641236,38913554.34773033,31133793.198525995,30153201.940149277,23883490.53455862
2880,105595720.62149383,64825299.16059622,48704157.650769964,42043556.432456836,31520819.57348835,26263268.98801057,24874936.752773173,19992249.75307929
