,144,288,432,576,864,1440,2016,2880
144,-15.147233902281275,-16.51522992104618,-17.36106897808731,-17.222757918310933,-13.045927934241167,-13.895711854181483,-17.837308403253367,-21.341591118146127
288,-18.25399659983632,-18.766472934645694,-14.621095446834733,-17.927802666168795,-14.33198703865557,-15.22755950763699,-19.93667048491649,-21.53926952172208
432,-17.136962880063113,-20.16497707628919,-14.974795090519164,-16.767775522421516,-15.302633808269755,-17.71984900669491,-18.781373959015813,-22.147840045556997
576,-16.61930281055708,-18.521639351224962,-13.940621088135469,-16.43812695299483,-13.134656575608014,-18.525107385315543,-20.92985752267094,-23.035637645724435
864,-20.51370523597299,-18.391314255923817,-21.42583458877492,-17.1747542378089,-15.432732410741238,-18.94114417873617,-20.68649598752984,-22.9151066197598
1440,-15.395122454988766,-13.932724708417243,-19.205171684026695,-17.899930880812978,-22.70113579257165,-18.940182667312452,-23.322192986011817,-19.62420613555644
2016,-15.956886754846195,-16.40944232852665,-12.394346135771125,-21.290760977470182,-19.4892447747068,-21.055397137738368,-22.077972073742995,-21.72204099240581
2880,-12.654561812781559,-13.769890016751262,-11.730244897585965,-15.36428963027534,-15.113151574252026,-15.212628856592477,-16.685505587749077,-20.839746143024417
