,18,36,72,144,288,864,1440,2016,2880
18,6258382.387310102,4568067.825646368,2712435.603633753,1358285.145540503,721762.3515625336,247333.51312101918,138996.21516570717,96383.47567368519,61843.703043398775
36,5532364.2283751685,3612237.3155061933,2424838.406109316,1297782.3759760156,705645.3038542931,243942.7612330201,139244.49381522718,94155.69508049489,61982.90628768049
72,5099794.066307618,3036465.1569074397,1892818.7903593946,1141636.2919754162,676140.832525822,240756.64062843748,143456.09933004552,94843.55675411726,60740.47884047278
144,4732635.415230296,2759264.239347406,1594436.6927513161,922530.509326516,602053.6516848546,239393.32717770027,143484.8993713641,95057.16787438001,58645.449558024586
288,4426936.382006287,2619895.601087671,1452431.1475719016,778778.4311765345,472554.50670874957,221075.08229497654,140558.6987418809,88194.98236734864,57478.59999520932
864,3945919.0322953174,2202138.3411164805,1245032.4337923052,641954.8192155313,390106.5328203801,167560.4097475494,112328.40974891518,86447.95725064883,59560.419190462504
1440,3781280.5566408886,2111263.158117433,1154308.461026997,566524.4005112032,312874.65507422603,137402.74407776204,96010.93775691594,79062.38763737297,57395.73011385476
2016,3753024.114411728,2054814.6836295424,1105714.1519532881,546213.1377749098,313951.0989684972,128630.42836406465,86768.78939873757,67818.48971051798,49524.51355962435
2880,3656998.6099700164,2029273.2833695975,1066852.1843911682,511042.5777705702,291785.3897339569,114902.8071953173,78468.55982507176,61557.90869065368,46444.72744354536
