,144,288,432,576,864,1440,2016,2880
144,899004413.2575392,567037616.8885702,408394426.7964219,317075298.09158486,218555487.86080018,141802794.67731446,104628382.38321663,75799193.71651036
288,656983365.0423756,444382791.48105246,352293319.37114024,283343751.7534261,199549338.23904738,134834067.03521895,98549876.65584747,72209952.78669259
432,564507110.7288959,380062856.1892264,304871394.42532104,256901458.9264418,187815773.4712124,127539144.89431073,96379255.69453946,69409586.64090252
576,526545577.5767133,343836775.89778686,269184388.331696,234252053.56648093,178752822.45611233,123036213.7614496,94667431.04314385,66103436.741510436
864,476689174.2627209,303521729.0045579,229256843.54795438,194789517.55610123,152582740.4924553,113310064.4489164,90388574.1951717,65070638.55056271
1440,436599462.1083429,264424134.14860022,195293964.64030886,163800734.45477173,126072368.7827484,96399494.73741972,78826708.94950013,60744763.87224835
2016,396945080.99396694,235994084.09922096,167920886.0843789,135844931.47659385,105022296.32068636,82208182.45631747,69656941.43402734,54737134.15951704
2880,376088118.37931705,219547738.47784132,154958086.14082384,124896193.15789036,94169548.9392569,71743248.96137947,62337068.358979784,48107403.560726814
